Temperature,Humidity,Light,CO2,HumidityRatio,Label
0.892168922,0.788185654,0.276618174,0.495866442,0.005021011,1
0.893398934,0.784810127,0.276618174,0.481579581,0.005008581,1
0.892476425,0.787911392,0.274509804,0.483385504,0.005021569,1
0.892476425,0.787911392,0.277672359,0.486154587,0.005021569,1
0.893398934,0.788185654,0.276618174,0.484308532,0.005030298,1
0.892168922,0.791392405,0.276618174,0.488482222,0.005041605,1
0.893398934,0.789810127,0.274509804,0.490488803,0.005040749,1
0.893398934,0.794767932,0.276618174,0.490569067,0.005072649,1
0.893398934,0.792848101,0.274509804,0.492174332,0.005060296,1
0.893398934,0.796540084,0.276618174,0.494742756,0.005084053,1
0.893398934,0.798101266,0.27688172,0.504575006,0.005094099,1
0.893398934,0.799367089,0.279411765,0.50517698,0.005102244,1
0.893398934,0.794810127,0.279569892,0.511196725,0.005072921,1
0.893398934,0.794746835,0.279411765,0.50517698,0.005072514,1
0.893398934,0.797468354,0.279253637,0.504695401,0.005090026,1
0.894423944,0.797468354,0.277039848,0.505297375,0.005097869,1
0.894423944,0.796772152,0.284313725,0.506260535,0.005093382,1
0.897498975,0.8,0.284313725,0.510715146,0.005137857,1
0.893398934,0.798734177,0.284313725,0.510233566,0.005098172,1
0.894765614,0.803291139,0.283154122,0.516253311,0.005138035,1
0.896473965,0.803101266,0.284313725,0.516413837,0.005150007,1
0.897498975,0.803670886,0.284313725,0.517858576,0.005161628,1
0.897498975,0.804240506,0.284313725,0.523477005,0.005165317,1
0.897498975,0.804240506,0.27688172,0.521671081,0.005165317,1
0.897498975,0.804810127,0.279991567,0.523155951,0.005169006,1
0.897498975,0.804810127,0.276618174,0.525403323,0.005169006,1
0.897498975,0.807341772,0.277672359,0.529737539,0.005185401,1
0.897498975,0.807341772,0.280834915,0.530219119,0.005185401,1
0.897498975,0.806708861,0.280834915,0.533108596,0.005181302,1
0.897498975,0.804810127,0.280834915,0.534553335,0.005169006,1
0.897498975,0.806708861,0.280834915,0.530580303,0.005181302,1
0.897498975,0.803291139,0.280834915,0.529737539,0.005159169,1
0.897498975,0.803101266,0.280834915,0.526246087,0.005157939,1
0.897498975,0.802531646,0.280834915,0.526125692,0.00515425,1
0.897498975,0.802405063,0.276091082,0.526848062,0.005153431,1
0.897498975,0.799156118,0.274509804,0.522834899,0.005132392,1
0.897498975,0.798734177,0.276091082,0.504213821,0.00512966,0
